Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,symmetric,0.31,0.403235487314131
75% Corpus,5,symmetric,0.61,0.40779675925386866
75% Corpus,5,symmetric,0.9099999999999999,0.38230898499354815
75% Corpus,5,symmetric,symmetric,0.40597490950389964
75% Corpus,5,asymmetric,0.01,0.546901884511596
75% Corpus,5,asymmetric,0.31,0.388228529912681
75% Corpus,5,asymmetric,0.61,0.401320888623348
75% Corpus,5,asymmetric,0.9099999999999999,0.46442787648423867
75% Corpus,5,asymmetric,symmetric,0.39311855159940495
75% Corpus,6,0.01,0.01,0.5524552100125865
75% Corpus,6,0.01,0.31,0.413110284005147
75% Corpus,6,0.01,0.61,0.4081059467033456
75% Corpus,6,0.01,0.9099999999999999,0.3898945888533578
75% Corpus,6,0.01,symmetric,0.40138941224707714
75% Corpus,6,0.31,0.01,0.5258903418853754
75% Corpus,6,0.31,0.31,0.38644733051748964
75% Corpus,6,0.31,0.61,0.3936086957140627
75% Corpus,6,0.31,0.9099999999999999,0.38563985754671
75% Corpus,6,0.31,symmetric,0.38813066145202596
75% Corpus,6,0.61,0.01,0.5075701146505582
75% Corpus,6,0.61,0.31,0.38677565470135616
75% Corpus,6,0.61,0.61,0.3925084349559256
75% Corpus,6,0.61,0.9099999999999999,0.3979529154457828
75% Corpus,6,0.61,symmetric,0.4001048396152145
75% Corpus,6,0.9099999999999999,0.01,0.5090476926241158
75% Corpus,6,0.9099999999999999,0.31,0.3933825421431394
75% Corpus,6,0.9099999999999999,0.61,0.38531134547753937
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.36885294191103707
75% Corpus,6,0.9099999999999999,symmetric,0.3995701561196334
75% Corpus,6,symmetric,0.01,0.5563500192527852
75% Corpus,6,symmetric,0.31,0.40363088548257936
75% Corpus,6,symmetric,0.61,0.40430911748264053
75% Corpus,6,symmetric,0.9099999999999999,0.3959718594465928
75% Corpus,6,symmetric,symmetric,0.4037268164273759
75% Corpus,6,asymmetric,0.01,0.5167728780300652
75% Corpus,6,asymmetric,0.31,0.3840997230914072
75% Corpus,6,asymmetric,0.61,0.4094321249695787
75% Corpus,6,asymmetric,0.9099999999999999,0.43780518785501005
75% Corpus,6,asymmetric,symmetric,0.4026557552330831
75% Corpus,7,0.01,0.01,0.5493487965420029
75% Corpus,7,0.01,0.31,0.4028779756241356
75% Corpus,7,0.01,0.61,0.3847222221839872
75% Corpus,7,0.01,0.9099999999999999,0.4014753385063017
75% Corpus,7,0.01,symmetric,0.4113543927082444
75% Corpus,7,0.31,0.01,0.5330842812505557
75% Corpus,7,0.31,0.31,0.4099267855298941
75% Corpus,7,0.31,0.61,0.4049039017486639
75% Corpus,7,0.31,0.9099999999999999,0.39650278089876495
75% Corpus,7,0.31,symmetric,0.4015712792231628
75% Corpus,7,0.61,0.01,0.5192748638250267
75% Corpus,7,0.61,0.31,0.4164878917517135
75% Corpus,7,0.61,0.61,0.39513141611697783
75% Corpus,7,0.61,0.9099999999999999,0.4336809613099319
75% Corpus,7,0.61,symmetric,0.40667015336504403
75% Corpus,7,0.9099999999999999,0.01,0.525672254981009
75% Corpus,7,0.9099999999999999,0.31,0.3847210662702781
75% Corpus,7,0.9099999999999999,0.61,0.36941918720245015
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.38693076441198004
75% Corpus,7,0.9099999999999999,symmetric,0.39496623179150486
75% Corpus,7,symmetric,0.01,0.5550703424341236
75% Corpus,7,symmetric,0.31,0.4107873620897858
75% Corpus,7,symmetric,0.61,0.4064433849128671
75% Corpus,7,symmetric,0.9099999999999999,0.4294093015119023
75% Corpus,7,symmetric,symmetric,0.4029184571507595
75% Corpus,7,asymmetric,0.01,0.5352978627359667
75% Corpus,7,asymmetric,0.31,0.4217358263036234
75% Corpus,7,asymmetric,0.61,0.39598286641979563
75% Corpus,7,asymmetric,0.9099999999999999,0.368693547873559
75% Corpus,7,asymmetric,symmetric,0.43101799126488766
75% Corpus,8,0.01,0.01,0.5309073255128627
75% Corpus,8,0.01,0.31,0.41150145344456046
75% Corpus,8,0.01,0.61,0.3957452322089563
75% Corpus,8,0.01,0.9099999999999999,0.4296805541428567
75% Corpus,8,0.01,symmetric,0.39460099684815836
75% Corpus,8,0.31,0.01,0.5231177512339771
75% Corpus,8,0.31,0.31,0.40573330256061113
75% Corpus,8,0.31,0.61,0.4139119947160289
75% Corpus,8,0.31,0.9099999999999999,0.39434526096144407
75% Corpus,8,0.31,symmetric,0.4193557383756152
75% Corpus,8,0.61,0.01,0.49787393506836797
75% Corpus,8,0.61,0.31,0.3979993664066521
75% Corpus,8,0.61,0.61,0.3962207369052777
75% Corpus,8,0.61,0.9099999999999999,0.39722301978285474
75% Corpus,8,0.61,symmetric,0.3838236960909026
75% Corpus,8,0.9099999999999999,0.01,0.5129762072245638
75% Corpus,8,0.9099999999999999,0.31,0.41630933334050235
75% Corpus,8,0.9099999999999999,0.61,0.382819707334602
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4168060401693263
75% Corpus,8,0.9099999999999999,symmetric,0.41283172887843744
